Company,TypeName,Inches,Ram,OS,Weight,Screen,ScreenW,ScreenH,Touchscreen,IPSpanel,RetinaDisplay,CPU_company,CPU_freq,PrimaryStorage,SecondaryStorage,PrimaryStorageType,SecondaryStorageType,GPU_company
Acer,2 in 1 Convertible,13.3,8,Windows 10,1.6,Full HD,1920,1080,Yes,Yes,No,Intel,2.5,256,0,SSD,No,Intel
Razer,Gaming,14.0,16,Windows 10,1.95,Full HD,1920,1080,No,No,No,Intel,2.8,512,0,SSD,No,Nvidia
Lenovo,2 in 1 Convertible,15.6,4,Windows 10,2.1,Full HD,1920,1080,Yes,Yes,No,Intel,2.3,256,0,SSD,No,Intel
Dell,Notebook,15.6,8,Linux,2.2,Full HD,1920,1080,No,No,No,Intel,2.7,1024,0,HDD,No,AMD
HP,Notebook,15.6,4,Windows 10,1.86,Full HD,1920,1080,No,No,No,Intel,2.0,1024,0,HDD,No,Intel
Lenovo,Notebook,15.6,4,Windows 10,2.1,Standard,1366,768,No,No,No,Intel,2.3,500,0,HDD,No,Intel
Mediacom,Notebook,14.0,2,Windows 10,1.4,Full HD,1920,1080,No,No,No,Intel,1.44,32,0,Flash Storage,No,Intel
Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,Full HD,1920,1080,Yes,Yes,No,Intel,2.4,256,0,SSD,No,Intel
MSI,Gaming,17.3,8,Windows 10,2.7,Full HD,1920,1080,No,No,No,Intel,2.8,128,1024,SSD,HDD,Nvidia
Acer,Notebook,14.0,4,Windows 10,1.6,Standard,1366,768,No,No,No,Intel,1.6,128,0,Flash Storage,No,Intel
Asus,Notebook,14.0,4,Windows 10,1.5,Standard,1366,768,No,No,No,Intel,1.1,32,0,Flash Storage,No,Intel
Lenovo,Notebook,14.0,4,Windows 10,2.1,Standard,1366,768,No,No,No,Intel,1.1,500,0,HDD,No,Intel
Dell,Notebook,15.6,16,Windows 10,2.32,Full HD,1920,1080,No,No,No,Intel,2.7,2048,0,HDD,No,AMD
Lenovo,Notebook,14.0,16,Windows 7,1.1,Standard,2560,1440,No,Yes,No,Intel,2.6,256,0,SSD,No,Intel
HP,Gaming,17.3,8,Windows 10,3.35,Full HD,1920,1080,No,Yes,No,Intel,2.8,128,1024,SSD,HDD,Nvidia
Lenovo,2 in 1 Convertible,13.3,16,Windows 10,1.3,Quad HD+,3200,1800,Yes,Yes,No,Intel,2.2,1024,0,SSD,No,Intel
Dell,Notebook,15.6,8,Windows 10,1.93,Full HD,1920,1080,No,No,No,Intel,2.8,256,0,SSD,No,Nvidia
Lenovo,Gaming,15.6,8,Windows 10,2.5,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Nvidia
Lenovo,Notebook,17.3,8,No OS,2.8,Standard,1600,900,No,No,No,Intel,2.5,1024,0,HDD,No,Intel
Lenovo,Notebook,11.6,2,Windows 10,1.15,Standard,1366,768,No,No,No,Intel,1.1,32,0,Flash Storage,No,Intel
Dell,Ultrabook,13.3,16,Windows 10,1.2,Quad HD+,3200,1800,Yes,No,No,Intel,2.7,1024,0,SSD,No,Intel
Dell,Gaming,15.6,16,Windows 10,3.21,4K Ultra HD,3840,2160,No,No,No,Intel,2.6,256,1024,SSD,HDD,Nvidia
Dell,Netbook,11.6,4,Chrome OS,1.26,Standard,1366,768,No,No,No,Intel,1.6,16,0,Flash Storage,No,Intel
Lenovo,Notebook,15.6,8,Windows 10,2.3,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
Dell,Notebook,15.6,4,Windows 10,1.95,Standard,1366,768,No,No,No,Intel,2.3,500,0,HDD,No,Intel
Lenovo,Notebook,15.6,8,Windows 10,1.9,Full HD,1920,1080,No,No,No,Intel,2.5,128,1024,SSD,HDD,AMD
Lenovo,Notebook,15.6,8,Windows 10,2.3,Full HD,1920,1080,No,No,No,Intel,2.3,256,0,SSD,No,Intel
HP,Notebook,15.6,4,Windows 10,2.04,Full HD,1920,1080,No,No,No,Intel,2.4,500,0,HDD,No,Intel
Lenovo,Notebook,15.6,8,Windows 10,1.95,Full HD,1920,1080,No,Yes,No,Intel,2.7,256,0,SSD,No,Intel
Asus,Gaming,17.3,8,Windows 10,3.0,Full HD,1920,1080,No,No,No,Intel,2.8,1024,0,HDD,No,Nvidia
Dell,Ultrabook,13.3,16,Windows 10,1.29,Quad HD+,3200,1800,Yes,No,No,Intel,2.5,512,0,SSD,No,Intel
Asus,Gaming,15.6,16,Windows 10,2.2,Full HD,1920,1080,No,Yes,No,Intel,2.8,128,1024,SSD,HDD,Nvidia
HP,Notebook,15.6,8,Windows 10,2.04,Standard,1366,768,No,No,No,AMD,2.5,2048,0,HDD,No,AMD
HP,Notebook,14.0,4,Windows 10,1.48,Standard,1366,768,No,No,No,Intel,2.4,256,0,SSD,No,Intel
Dell,Notebook,15.6,8,Windows 10,1.9,Full HD,1920,1080,No,No,No,Intel,2.6,500,0,HDD,No,Intel
Lenovo,Notebook,15.6,8,Windows 10,2.3,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Nvidia
Toshiba,Notebook,15.6,16,Windows 10,2.4,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Nvidia
HP,Ultrabook,12.5,8,Windows 7,1.26,Standard,1366,768,No,No,No,Intel,2.4,256,0,SSD,No,Intel
Acer,Notebook,15.6,2,Chrome OS,2.19,Standard,1366,768,No,No,No,Intel,1.5,16,0,SSD,No,Intel
Acer,Notebook,15.6,12,Windows 10,2.15,Full HD,1920,1080,Yes,Yes,No,Intel,2.7,1024,0,HDD,No,Intel
Lenovo,Notebook,15.6,4,Windows 10,2.2,Standard,1366,768,No,No,No,AMD,2.2,500,0,HDD,No,AMD
Lenovo,Notebook,15.6,4,Windows 10,2.1,Standard,1366,768,No,No,No,Intel,2.0,128,0,SSD,No,Intel
Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,Full HD,1920,1080,Yes,No,No,Intel,1.8,512,512,SSD,SSD,Intel
Asus,Notebook,15.6,4,Linux,2.0,Full HD,1920,1080,No,No,No,Intel,2.0,256,0,SSD,No,Intel
Dell,Ultrabook,13.3,16,Windows 10,1.2,Quad HD+,3200,1800,Yes,No,No,Intel,2.7,512,0,SSD,No,Intel
Acer,Notebook,15.6,4,Windows 10,2.1,Standard,1366,768,No,No,No,AMD,3.0,128,0,SSD,No,AMD
Lenovo,Gaming,15.6,4,Windows 10,2.4,Full HD,1920,1080,No,Yes,No,Intel,2.8,1024,0,HDD,No,Nvidia
Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.3,Quad HD+,3200,1800,Yes,Yes,No,Intel,1.8,256,0,SSD,No,Intel
HP,Notebook,15.6,8,Windows 10,2.04,Standard,1366,768,No,No,No,Intel,1.6,2048,0,HDD,No,Intel
Dell,Notebook,15.6,16,Windows 10,1.93,Full HD,1920,1080,No,No,No,Intel,2.6,512,0,SSD,No,Intel
Dell,Ultrabook,13.3,8,Linux,1.23,Quad HD+,3200,1800,Yes,No,No,Intel,2.4,256,0,SSD,No,Intel
Dell,Notebook,15.6,8,Windows 10,2.0,Full HD,1920,1080,No,No,No,Intel,2.8,256,0,SSD,No,Nvidia
HP,2 in 1 Convertible,13.3,8,Windows 10,1.48,Standard,2560,1440,Yes,No,No,Intel,2.6,256,0,SSD,No,Intel
Toshiba,Notebook,13.3,8,Windows 10,1.05,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
HP,2 in 1 Convertible,11.6,8,Chrome OS,1.4,Standard,1366,768,Yes,No,No,Intel,1.1,64,0,Flash Storage,No,Intel
Dell,Notebook,15.6,4,Windows 10,2.25,Standard,1366,768,No,No,No,Intel,2.5,500,0,HDD,No,AMD
Dell,Notebook,15.6,4,Linux,2.3,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,AMD
Dell,2 in 1 Convertible,13.3,8,Windows 10,1.24,Quad HD+,3200,1800,Yes,No,No,Intel,1.3,512,0,SSD,No,Intel
Lenovo,Notebook,15.6,4,Windows 10,2.2,Full HD,1920,1080,No,No,No,AMD,2.5,128,0,SSD,No,AMD
HP,Notebook,17.3,8,Windows 10,2.5,Full HD,1920,1080,No,No,No,Intel,1.6,256,0,SSD,No,Intel
Asus,Notebook,15.6,4,No OS,2.45,Standard,1366,768,No,No,No,Intel,2.3,1024,0,HDD,No,Nvidia
HP,Ultrabook,14.0,8,Windows 7,1.54,Standard,2560,1440,No,No,No,Intel,2.5,256,0,SSD,No,Intel
Lenovo,Gaming,15.6,16,Windows 10,3.31,Full HD,1920,1080,No,Yes,No,Intel,2.6,512,0,SSD,No,Nvidia
Asus,2 in 1 Convertible,13.3,6,Windows 10,1.5,Full HD,1920,1080,Yes,No,No,Intel,2.5,1024,0,HDD,No,Intel
Dell,Notebook,17.3,8,Windows 10,2.8,Full HD,1920,1080,No,No,No,Intel,1.8,128,1024,SSD,HDD,AMD
Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,Full HD,1920,1080,Yes,Yes,No,Intel,2.7,512,0,SSD,No,Intel
Lenovo,Notebook,15.6,32,Windows 10,2.5,4K Ultra HD,3840,2160,No,Yes,No,Intel,3.1,1024,0,SSD,No,Nvidia
HP,Notebook,15.6,4,Windows 10,2.1,Full HD,1920,1080,No,No,No,Intel,2.0,128,1024,SSD,HDD,AMD
Dell,Notebook,15.6,4,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,1.6,1024,0,HDD,No,AMD
Lenovo,Notebook,15.6,4,No OS,2.2,Full HD,1920,1080,No,No,No,Intel,2.5,1024,0,HDD,No,Nvidia
HP,Notebook,17.3,8,Windows 10,2.54,Standard,1600,900,No,No,No,Intel,2.0,1024,0,HDD,No,Intel
Toshiba,Ultrabook,14.0,8,Windows 10,1.47,Full HD,1920,1080,No,Yes,No,Intel,2.6,256,0,SSD,No,Intel
Asus,Notebook,15.6,4,Linux,2.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
Lenovo,Notebook,14.0,8,Windows 10,1.75,Full HD,1920,1080,No,Yes,No,Intel,1.6,256,0,SSD,No,AMD
Dell,Ultrabook,13.3,8,Windows 10,1.29,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
HP,Notebook,13.3,4,Windows 10,1.49,Full HD,1920,1080,No,Yes,No,Intel,1.6,128,0,SSD,No,Intel
Dell,Notebook,15.6,8,Windows 10,2.02,Full HD,1920,1080,No,No,No,Intel,1.6,2048,0,HDD,No,AMD
HP,Notebook,13.3,4,Windows 10,1.32,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Intel
HP,Ultrabook,14.0,8,Windows 7,1.54,Full HD,1920,1080,No,No,No,Intel,2.5,512,0,SSD,No,Intel
Lenovo,Gaming,15.6,16,Windows 10,2.5,Full HD,1920,1080,No,Yes,No,AMD,2.1,512,1024,SSD,HDD,AMD
Dell,Gaming,17.3,16,Windows 10,4.42,Full HD,1920,1080,No,Yes,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
HP,Ultrabook,15.6,8,Windows 10,1.84,Full HD,1920,1080,No,No,No,Intel,2.7,512,0,SSD,No,Intel
Toshiba,Notebook,15.6,8,Windows 10,2.2,Standard,1366,768,No,No,No,Intel,2.5,500,0,HDD,No,Nvidia
HP,Notebook,15.6,8,Windows 10,2.1,Full HD,1366,768,No,Yes,No,Intel,1.8,1024,0,HDD,No,Intel
Dell,Notebook,15.6,16,Windows 10,2.06,4K Ultra HD,3840,2160,Yes,No,No,Intel,2.8,512,0,SSD,No,Nvidia
HP,2 in 1 Convertible,13.3,8,Windows 10,1.58,Standard,1366,768,Yes,Yes,No,Intel,2.5,256,0,SSD,No,Intel
Dell,Notebook,15.6,4,Windows 10,2.18,Standard,1366,768,No,No,No,Intel,2.4,1024,0,HDD,No,Intel
Lenovo,Ultrabook,14.0,8,Windows 10,1.7,Full HD,2560,1440,No,Yes,No,Intel,2.8,512,0,SSD,No,Nvidia
Lenovo,2 in 1 Convertible,10.1,4,Android,0.69,Standard,1920,1200,Yes,Yes,No,Intel,1.44,64,0,Flash Storage,No,Intel
Dell,Notebook,15.6,4,Windows 10,1.93,Standard,1366,768,No,No,No,Intel,2.6,500,0,HDD,No,Intel
Asus,Gaming,17.3,8,Windows 10,2.7,Full HD,1920,1080,No,Yes,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
MSI,Gaming,17.3,8,Windows 10,2.7,Full HD,1920,1080,No,No,No,Intel,2.8,128,1024,SSD,HDD,Nvidia
Lenovo,Notebook,15.6,8,Windows 10,1.95,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Intel
Dell,Notebook,15.6,4,Linux,2.2,Standard,1366,768,No,No,No,Intel,1.6,500,0,HDD,No,Intel
HP,2 in 1 Convertible,11.6,4,Chrome OS,1.4,Standard,1366,768,Yes,No,No,Intel,1.1,32,0,Flash Storage,No,Intel
Dell,Gaming,17.3,16,Windows 10,4.42,Full HD,1920,1080,No,Yes,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
Acer,Notebook,15.6,4,Windows 10,2.4,Standard,1366,768,No,No,No,Intel,2.0,500,0,HDD,No,Intel
Dell,Notebook,15.6,8,Windows 10,1.9,Full HD,1920,1080,No,No,No,Intel,2.8,256,0,SSD,No,Intel
Dell,Notebook,15.6,8,Linux,2.2,Full HD,1920,1080,No,No,No,Intel,2.7,256,0,SSD,No,AMD
HP,Ultrabook,13.3,8,Windows 10,1.34,Quad HD+,3200,1800,No,Yes,No,Intel,2.7,256,0,SSD,No,Intel
Dell,Notebook,14.0,8,Windows 10,1.56,Full HD,1920,1080,No,No,No,Intel,2.4,256,0,SSD,No,Intel
Lenovo,Notebook,17.3,4,Windows 10,2.79,Standard,1600,900,No,No,No,Intel,2.5,1024,0,HDD,No,Nvidia
Lenovo,Notebook,15.6,4,Windows 10,2.1,Standard,1366,768,No,No,No,Intel,2.0,500,0,HDD,No,Intel
Lenovo,Gaming,15.6,8,Windows 10,2.5,Full HD,1920,1080,No,Yes,No,Intel,2.8,128,1024,SSD,HDD,Nvidia
Lenovo,Notebook,15.6,8,No OS,2.2,Full HD,1920,1080,No,No,No,Intel,2.7,1024,0,HDD,No,Nvidia
Lenovo,Notebook,15.6,4,No OS,1.85,Full HD,1920,1080,No,No,No,Intel,2.0,128,0,SSD,No,Intel
HP,Notebook,15.6,8,Windows 10,2.1,Full HD,1920,1080,No,No,No,Intel,1.6,256,0,SSD,No,Nvidia
Chuwi,Notebook,15.6,4,Windows 10,1.89,Full HD,1920,1080,No,No,No,Intel,1.44,64,0,Flash Storage,No,Intel
Asus,Notebook,17.3,8,No OS,2.69,Full HD,1920,1080,No,No,No,Intel,2.7,128,1024,SSD,HDD,Nvidia
HP,2 in 1 Convertible,13.3,8,Windows 10,1.28,Full HD,1920,1080,Yes,No,No,Intel,2.8,256,0,SSD,No,Intel
Lenovo,Notebook,15.6,4,No OS,1.9,Standard,1366,768,No,No,No,Intel,1.1,1024,0,HDD,No,Intel
Lenovo,Notebook,13.3,8,Windows 10,1.1,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Intel
Dell,Notebook,15.6,4,Windows 10,2.25,Full HD,1920,1080,No,No,No,Intel,2.5,1024,0,HDD,No,Intel
Dell,Notebook,15.6,4,Linux,2.18,Standard,1366,768,No,No,No,Intel,2.5,1024,0,HDD,No,Intel
Asus,Notebook,15.6,4,Windows 10,2.2,Standard,1366,768,No,No,No,Intel,1.6,500,0,HDD,No,Intel
Asus,Notebook,15.6,4,Windows 10,2.0,Standard,1366,768,No,No,No,Intel,2.4,1024,0,HDD,No,Intel
HP,Notebook,15.6,6,Windows 10,2.04,Full HD,1920,1080,No,No,No,AMD,2.9,1024,0,Hybrid,No,AMD
Asus,Notebook,15.6,8,Windows 10,2.37,Full HD,1920,1080,No,No,No,Intel,2.5,1024,0,HDD,No,Intel
Apple,Ultrabook,15.4,16,macOS,1.83,Standard,2880,1800,No,Yes,Yes,Intel,2.7,512,0,SSD,No,AMD
Dell,Ultrabook,13.3,8,Windows 10,1.23,Quad HD+,3200,1800,Yes,No,No,Intel,2.4,256,0,SSD,No,Intel
Lenovo,Notebook,15.6,4,Windows 10,2.2,Standard,1366,768,No,No,No,AMD,2.2,128,0,SSD,No,AMD
Asus,Gaming,17.3,16,Windows 10,4.3,Full HD,1920,1080,No,Yes,No,Intel,2.6,128,1024,SSD,HDD,Nvidia
Dell,Gaming,15.6,8,Windows 10,2.56,Full HD,1920,1080,No,No,No,Intel,2.5,1024,0,HDD,No,Nvidia
Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,Full HD,1920,1080,Yes,Yes,No,Intel,2.5,512,0,SSD,No,Intel
Asus,Gaming,17.3,16,Windows 10,2.9,Full HD,1920,1080,No,No,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
Lenovo,Netbook,11.6,4,Windows 10,1.59,Standard,1366,768,No,Yes,No,Intel,1.1,128,0,SSD,No,Intel
Acer,Gaming,15.6,8,Linux,2.4,Full HD,1920,1080,No,No,No,Intel,2.5,1024,0,HDD,No,Nvidia
Lenovo,Ultrabook,14.0,24,Windows 10,1.32,Standard,2560,1440,No,No,No,Intel,2.7,512,0,SSD,No,Intel
Asus,2 in 1 Convertible,11.6,2,Windows 10,1.1,Standard,1366,768,Yes,No,No,Intel,1.1,32,0,Flash Storage,No,Intel
MSI,Gaming,17.3,8,Windows 10,2.7,Full HD,1920,1080,No,No,No,Intel,2.8,128,1024,SSD,HDD,Nvidia
Acer,Notebook,11.6,4,Windows 10,1.4,Standard,1366,768,No,No,No,Intel,1.6,128,0,Flash Storage,No,Intel
HP,Notebook,14.0,8,Windows 10,1.64,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
Dell,Notebook,15.6,4,Windows 10,1.9,Standard,1366,768,No,No,No,Intel,2.5,500,0,HDD,No,Intel
Acer,Notebook,15.6,4,Windows 10,2.1,Standard,1366,768,No,No,No,AMD,3.0,500,0,HDD,No,AMD
HP,Notebook,15.6,8,Windows 10,1.91,Full HD,1920,1080,No,No,No,Intel,2.7,256,0,SSD,No,AMD
Asus,Notebook,14.0,4,Windows 10,1.5,Full HD,1920,1080,No,No,No,Intel,1.1,32,0,Flash Storage,No,Intel
HP,Workstation,17.3,8,Windows 10,3.14,Standard,1600,900,No,No,No,Intel,2.8,500,0,HDD,No,Nvidia
HP,Notebook,15.6,4,Windows 10,1.86,Full HD,1920,1080,No,No,No,Intel,2.0,500,0,HDD,No,Intel
Dell,Ultrabook,12.5,8,Windows 10,1.36,Full HD,1920,1080,Yes,No,No,Intel,2.5,256,0,SSD,No,Intel
Lenovo,Notebook,15.6,6,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,2.7,256,0,SSD,No,Nvidia
Dell,Notebook,14.0,8,Linux,1.64,Full HD,1920,1080,No,No,No,Intel,2.8,256,0,SSD,No,Nvidia
Dell,Notebook,15.6,4,Windows 10,2.2,Standard,1366,768,No,No,No,Intel,1.6,500,0,HDD,No,Intel
HP,Notebook,15.6,8,Windows 10,1.96,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
Asus,Notebook,15.6,8,Windows 10,2.0,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Nvidia
Samsung,Netbook,11.6,4,Chrome OS,1.15,Standard,1366,768,No,No,No,Intel,1.6,16,0,Flash Storage,No,Intel
Asus,Gaming,17.3,8,Windows 10,2.73,Full HD,1920,1080,No,Yes,No,Intel,2.5,128,1024,SSD,HDD,Nvidia
Lenovo,Notebook,14.0,8,Windows 10,1.87,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Nvidia
Dell,Notebook,15.6,8,Windows 10,2.06,Full HD,1920,1080,No,No,No,Intel,2.5,1024,0,HDD,No,Intel
HP,Notebook,15.6,4,Windows 10,1.86,Standard,1366,768,No,No,No,Intel,2.0,500,0,HDD,No,AMD
HP,Workstation,17.3,8,Windows 7,3.0,Full HD,1920,1080,No,Yes,No,Intel,2.6,1024,0,HDD,No,AMD
HP,Notebook,14.0,4,Windows 10,1.44,Standard,1366,768,No,No,No,Intel,1.6,32,0,SSD,No,Intel
HP,Notebook,15.6,8,Windows 10,1.9,Full HD,1920,1080,No,No,No,Intel,2.5,500,0,HDD,No,AMD
Asus,Gaming,17.3,16,Windows 10,2.9,Full HD,1920,1080,No,No,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
Apple,Ultrabook,15.4,16,macOS,1.83,Standard,2880,1800,No,Yes,Yes,Intel,2.8,256,0,SSD,No,AMD
HP,Ultrabook,13.3,8,Windows 10,1.39,Quad HD+,3200,1800,Yes,No,No,Intel,2.7,256,0,SSD,No,Intel
Dell,Gaming,17.3,32,Windows 10,4.36,4K Ultra HD,3840,2160,No,No,No,Intel,2.8,1024,1024,SSD,HDD,Nvidia
Asus,Ultrabook,15.6,16,Windows 10,1.63,Full HD,1920,1080,No,No,No,Intel,2.7,512,0,SSD,No,Nvidia
Dell,Gaming,15.6,16,Windows 10,2.62,4K Ultra HD,3840,2160,No,No,No,Intel,2.8,512,0,SSD,No,Nvidia
Dell,Notebook,17.3,8,Linux,2.83,Full HD,1920,1080,No,No,No,Intel,2.7,1024,0,HDD,No,AMD
HP,Workstation,15.6,8,Windows 7,2.59,Full HD,1920,1080,No,Yes,No,Intel,2.6,256,0,SSD,No,Nvidia
HP,2 in 1 Convertible,13.3,8,Windows 10,1.48,Full HD,1920,1080,Yes,No,No,Intel,2.4,256,0,SSD,No,Intel
Toshiba,Notebook,15.6,4,Windows 10,2.1,Standard,1366,768,No,No,No,Intel,2.1,128,0,SSD,No,Intel
Asus,Gaming,15.6,16,Windows 10,2.2,Full HD,1920,1080,No,No,No,Intel,2.8,256,1024,SSD,HDD,Nvidia
Lenovo,Ultrabook,12.5,8,Windows 10,1.36,Full HD,1920,1080,No,Yes,No,Intel,2.5,256,0,SSD,No,Intel
Acer,Notebook,15.6,4,Windows 10,2.1,Standard,1366,768,No,No,No,Intel,2.0,500,0,HDD,No,Intel
Dell,Notebook,13.3,4,Windows 10,1.65,Standard,1366,768,No,No,No,Intel,2.0,500,0,HDD,No,Intel
Lenovo,Gaming,15.6,8,Windows 10,2.4,Full HD,1920,1080,No,Yes,No,Intel,2.5,1024,0,HDD,No,Nvidia
Samsung,Ultrabook,13.3,8,Windows 10,0.81,Full HD,1920,1080,No,No,No,Intel,2.5,256,0,SSD,No,Intel
